9727396	1715483	13093
3252580	1194672	18252
89343	68692	19861
392885	131974	34499
112256361	22909790	27363
291405	102518	79066
6996435	3247388	57561
5688442	1899984	5147
4803035	2378441	39776
11470999	3299369	2671
932579	235770	32366
132331	53547	2450
56031	28804	12145
205662	105367	10922
6166464	1742934	735
1000582	257500	30619
6310445	1763042	245
2722716	949171	33510
296	204	2502
21082	10226	397
4756268	1540537	6272
169208	17879	180
4415397	881106	8588
1724414	491925	1451
6599	1203	200
1961373	465261	8448
109524	48298	17837
376158	99285	32055
176957	76516	515
46009	7629	36806
83289	22684	1931
13967	6988	2362
17687	6637	87
2658865	934640	3689
138114	32064	2535
7282030	1428526	488
282913	90045	1706
36599	14174	1248
1506454	363196	8746
49822	13561	136
116038117	15861725	6322
437194	94360	44771
165646	39516	873
12312	5233	526
61474	23819	1120
8668982	3263781	15905
465218	94750	8173
111450	22939	127
421008	212794	11259
1256697	493592	21938
1332304	293353	835
236474	25909	1337
4885	3000	822
14954	5080	1022
808529	324252	1459
116649	22856	883
210906	77983	5630
792756	91465	518
107879	28292	1390
19776	6962	2644
42986	13061	67
5178247	1342715	257
286732	34783	2176
3473734	488375	482
2436	426	2416
396837	174109	2479
69029	11498	29598
58553	10652	31301
519075	65149	963
1905037	305605	1750
22849955	9405981	6996
80136	34469	1408
494909	87091	41417
78430	41971	2137
40654	17538	754
2046667	631064	6298
27659	9814	8735
507037	222109	179
42646	7443	35862
96537	27207	103
251079	81326	132
129824	62145	1029
1626558	287736	23125
65700	46173	2135
45548	19073	3178
5896	2213	106
91331	36698	1968
35206	11902	1196
12301177	1960811	320
1833	371	353
162343	62958	241
18938	5037	1324
478555	88293	1419
655165	326997	229
9468668	925909	2203
