2750	8149	434
1031	5614	514
26	317	312
145	622	405
34747	102242	259
90	468	714
2110	14566	509
1781	8877	44
1419	10611	379
3385	15193	38
276	1087	306
42	223	22
20	127	91
66	495	65
1830	8320	6
289	1205	186
1785	7832	4
875	4391	193
2	1	16
8	43	4
1428	7412	40
55	72	3
1346	4222	59
527	2038	10
4	5	3
573	2082	53
36	231	139
111	456	224
54	328	6
16	41	251
28	102	12
6	31	14
8	27	1
828	4092	23
42	142	15
2211	6866	5
85	440	20
13	66	9
448	1737	48
17	61	3
35527	75431	39
131	462	330
55	175	5
5	22	5
20	105	8
2552	14854	95
139	418	49
39	103	2
126	989	67
365	2262	134
392	1270	7
76	110	9
3	12	8
5	21	9
247	1326	9
38	96	7
67	322	39
232	389	4
33	128	10
9	29	16
15	55	1
1511	6105	3
91	155	14
1062	2423	4
2	3	16
119	825	16
23	55	172
18	51	186
156	311	7
566	1266	13
6630	43885	51
24	150	10
144	473	241
29	192	13
13	78	5
609	2851	44
10	42	53
151	927	3
15	36	220
30	125	2
79	325	2
41	265	7
500	1382	150
19	208	15
15	85	19
3	9	2
33	155	12
12	60	7
3596	8567	4
2	2	3
50	258	3
7	21	9
142	386	10
197	1404	3
2946	4246	16
