9727396	9727396	6776859
3252580	3252580	2424680
89343	89343	50798
392885	392885	1702617
112256361	112256361	76345352
291405	291405	3596223
6996435	6996435	5692496
5688442	5688442	12230773
4803035	4803035	4628860
11470999	11470999	8706403
932579	932579	11188325
132331	132297	132244
56031	56031	56031
205662	205662	161097
6166464	6166464	4315029
1000582	1000582	11659193
6310445	6310445	3748196
2722716	2722716	5310775
296	296	5188
21082	21082	5964
4756268	4756268	17190615
169208	169208	82268
4415397	4415397	2031533
1724414	1724414	1701185
6599	6599	29909
1961373	1961373	1761174
109524	109524	304750
376158	376158	9244548
176957	176957	136884
46009	46009	1125148
83289	83289	265796
13967	13967	13119
17687	17687	15498
2658865	2658865	779249
138114	138114	59775
7282030	7282030	3261985
282913	282913	203892
36599	36599	42898
1506454	1506451	1506091
49822	49822	23212
116038117	116038117	50620805
437194	437194	949937
165646	165646	44613
12312	12312	3800
61474	61474	37403
8668982	8668982	6224663
465218	465218	1991320
111450	111450	57785
421008	421008	839138
1256697	1256697	11170380
1332304	1332304	452355
236474	236474	43701
4885	4885	23671
14954	14954	70750
808529	808529	861716
116649	116649	127958
210906	210906	368698
792756	792756	613834
107879	107879	155265
19776	19776	87091
42986	42986	14282
5178247	5178247	3624921
286732	286732	113310
3473734	3473734	1947163
2436	2436	1006
396837	396837	396826
69029	69029	1152449
58553	58553	585204
519075	519075	118082
1905037	1905037	3096532
22849955	22849955	16652632
80136	80136	53667
494909	494909	1292618
78430	78430	57114
40654	40654	20085
2046667	2046667	1477401
27659	27659	64366
507037	507037	372274
42646	42646	823217
96537	96537	71918
251079	251079	189124
129824	129824	156507
1626558	1626558	806219
65700	65700	33055
45548	44365	42104
5896	5896	5894
91331	91331	89548
35206	35206	41090
12301177	12301177	6468980
1833	1833	70739
162343	162343	66866
18938	18938	94693
478555	478555	245167
655165	655165	332758
9468668	9468668	22750666
